"CodeCommande","CodePFA","AProvenance","ANature","Type Parure","Nature Parure","Carac Parure","ALieuAchat","AQuantite","quantite","APrixUnitaire","prix unitaire","monnaie prix unitaire","APrixGlobal","prix global","monnaie prix global","AOccasion"
630,124,,"fourrure de garnache","fourrure","garnache",,,1,1,"16L parisis","16 0 0","parisis","16L parisis","16 0 0","parisis",
636,125,,"chaperon","tête","chaperon",,,1,1,,,,,,,"livrée"
668,126,,"fourrure de chaperon","fourrure","chaperon",,"Paris",1,1,,,,,,,
673,127,,"fourrure de chaperon","fourrure","chaperon",,"Paris",20,20,,,,,,,"livrée pers de penthecote"
679,128,,"chaperon","tête","chaperon",,"Paris",1,1,,,,,,,
681,129,,"couvre-chef","tête","Couvre-chef",,"Paris",2,2,"12S Parisis","0 12 0","parisis","24S Parisis","0 24 0","parisis",
696,130,,"chausses","chausses","chausses",,,"1 paire",1,"2D ob gt","0 0 2,5","gros tournois","2D ob gt","0 0 2,5","gros tournois",
713,131,,"tunique","intérieur","tunique",,"Aoste",1,1,"2S gt","0 2 0","gros tournois","2S gt","0 2 0","gros tournois",
722,132,,"fourrure de chaperon blanche","fourrure","chaperon",,,15,15,"12D gt","0 0 12","gros tournois","15S gt","0 15 0","gros tournois",
725,133,,"fourrure de chaperon","fourrure","chaperon",,,1,1,"12D gt","0 0 12","gros tournois",,,,
739,134,,"malecote","intérieur","malecotte",,,1,1,"1404S v lug","0 104 0","Viennois de Lyon","104S v lug","0 104 0","viennois de Lyon",
742,135,,"malecote","intérieur","malecotte",,,1,1,"10S  fortes escu","0 10 0","fort à l'écu","10S  fortes escu","0 10 0","fort à l'écu",
743,136,,"chausses","chausses","chausses",,,"3 paires",3,,,,"26S lug","0 26 0","lyonnais",
766,137,,"robe de deux garnements","vêtement","robe","deux garnements",,1,1,,,,,,,
774,138,,"pourpoint","ajusté","pourpoint",,,1,1,,,,,,,
774,139,,"bacinet","militaire","bacinet",,,1,1,,,,,,,
774,140,,"plate","militaire","plate",,,1,1,,,,,,,
791,141,,"fourrure de chaperon","fourrure","chaperon",,"Chambéry",4,4,,,,,,,
794,142,,"fourrure de chaperon","fourrure","chaperon",,,3,3,,,,,,,
800,143,,"mantel","extérieur","mantel",,,1,1,,,,,,,"pou un mort que l'on enterre"
827,144,,"fourrure de chaperon","fourrure","chaperon",,,3,3,,,,,,,
834,145,,"robe","vêtement","robe",,,1,1,,,,"50S gt","0 50 0","gros tournois","don d'Eduardi"
849,146,,"chausses","chausses","chausses",,"Pont d'Ain","2 paires",2,,,,"3S gt","0 3 0","gros tournois",
850,147,,"surcot","intérieur","surcot",,"Pont d'Ain",2,2,,,,,,,
852,148,,"couvre-chef","tête","Couvre-chef",,"Chambéry",1,1,"20D gt","0 0 20","gros tournois","20D gt","0 0 20","gros tournois",
857,149,,"pourpoint","ajusté","pourpoint",,"Paris",3,3,"24S parisis","0 24 0","parisis","72S parisis","0 72 0","parisis",
858,150,,"gipon","ajusté","gipon",,"Paris",3,3,"24S  parisis","0 24 0","parisis","72S  parisis","0 72 0","parisis",
859,151,,"pourpoint","ajusté","pourpoint",,"Paris",1,1,"24S  parisis","0 24 0","parisis","24S  parisis","0 24 0","parisis",
860,152,,"pourpoint","ajusté","pourpoint",,,6,6,"1FA",1,"franc or","6FA",6,"franc or",
861,153,,"pourpoint","ajusté","pourpoint",,,1,1,"1FA",1,"franc or","1FA",1,"franc or",
864,154,,"ceinture","parure","ceinture",,"Paris",6,6,,,,"9L  parisis","9 0 0","parisis",
864,155,,"écusson brodé","autre","écusson","broderie","Paris",2,2,,,,"11S  parisis","0 11 0","parisis",
867,157,,"chaperon","tête","chaperon",,"Paris ou Cambrai",1,1,,,,,,,
867,158,,"couvre chef","tête","Couvre-chef",,"Paris ou Cambrai",4,4,,,,"60S parisis","0 60 0","parisis",
869,159,,"chausses","chausses","chausses",,"Lille",,,,,,,,,"Berlinis accompagne le chapelain anglais qui retourne en Angleterre"
877,160,,"fourrure de chaperon","fourrure","chaperon",,"Douai",2,2,,,,,,,
879,161,,"malecote","intérieur","malecotte",,"Arras",1,1,,,,,,,
880,162,,"surcot","intérieur","surcot",,,1,1,,,,,,,
880,163,,"chausses","chausses","chausses",,,,,,,,,,,
880,164,,"chaussures","chaussure","chaussure",,,,,,,,,,,
881,165,,"cote à armée doublée","militaire","cotte d'armes","doublé",,7,7,,,,,,,"tournois??"
881,166,,"aiguillettes","mercerie","aiguillettes",,,,,,,,,,,
882,167,,"ceinture","parure","ceinture",,"Paris",2,2,,,,"10FA et 10S parisis",10,"franc or",
883,168,,"malecote","intérieur","malecotte",,"Paris",1,1,,,,"30S parisis","0 30 0","parisis",
884,169,,"malecote","intérieur","malecotte",,"Paris",1,1,"25S parisis","0 25 0","parisis","25S parisis","0 25 0","parisis","le terrassier va en Savoie avec le Comte Aymon"
885,170,,"couvre-chef","tête","Couvre-chef",,"Paris",3,3,,,,,,,
885,171,,"couvre-chef","tête","Couvre-chef",,"Paris",2,2,,,,,,,
886,172,,"fourrure de chaperon","fourrure","chaperon",,"Paris",5,5,,,,,,,
886,173,,"fourrure de chape","fourrure","chape",,"Paris",1,1,,,,,,,
886,174,,"fourrure de mantel","fourrure","mantel",,"Paris",1,1,,,,,,,
887,175,,"coiffe","tête","coiffe",,"Paris",5,5,,,,"110S parisis","0 110 0","parisis",
894,176,,"fourrure de chaperon","fourrure","chaperon",,,6,6,,,,"4L 16S","4 16 0","inconnu",
906,177,,"tuiallia","mobilier","tuaille",,,60,60,"36S la dousaine","0 0 36","inconnu","9L","9 0 0","inconnu",
910,178,,"bâche à couvrir les chariots","emballage","bâche","de charrette",,3,3,,,,"47L","47 0 0","inconnu",
916,179,,"fourrure de chaperon","fourrure","chaperon",,,"1 furratura",1,"16S","0 16 0","inconnu","16S","0 16 0","inconnu",
918,180,,"fourrure de chaperon","fourrure","chaperon",,,1,1,,,,,,,
922,181,,"capitegia","tête","chapeau",,,"10Pièces",10,"10S par pièces","0 10 0","inconnu","100S","0 100 0","inconnu",
924,182,,"capitegia","tête","chapeau",,,"5 pièces",5,"9S","0 9 0","inconnu","40S","0 40 0","inconnu",
939,183,,"robe","vêtement","robe",,,1,1,,,,"2FA",2,"franc or","don d'Aymon"
953,184,,"cote daudis","intérieur","Cotte-hardie",,,"plusieurs","plusieurs",,,,"2FABP",2,"franc or bon poids",
956,185,,"robe","vêtement","robe",,,25,25,,,,"26FABP",2,"franc or bon poids",
960,186,,"couvre-chef","tête","Couvre-chef",,,3,3,,,,"28S v esp","0 28 0","viennois à l'éperon",
964,187,,"chausses","chausses","chausses",,,,,,,,"7D ob gt","0 0 7,5","gros tournois",
969,188,,"chausses","chausses","chausses",,"Ambronay",,,,,,"4D gt","0 0 4,5","gros tournois","fête de la nativité 1346"
981,189,,"pelisse","extérieur","pelisse",,,2,2,,,,"112S 6D v curs","0 112 6","viennois courant",
987,190,,"chausses","chausses","chausses",,,,,,,,,,,
995,191,,"chaperon","tête","chaperon",,"Chambéry",,,,,,"8S 6D gt","0 8 6","gros tournois",
1000,192,,"capitegia insula","tête","chapeau","insula",,,,,,,,,,
1000,193,,"autre chose","inconnue","inconnue",,,,,,,,,,,
1005,194,,"capitegia","tête","chapeau",,,6,6,,,,,,,
1009,195,,"cote","intérieur","cotte",,,1,1,,,,,,,"don de Yolande"
1009,196,,"robe","vêtement","robe",,,1,1,,,,,,,"don de Yolande"
1009,197,,"chausses","chausses","chausses",,,,,,,,,,,"don de Yolande"
1016,198,,"robe normande","vêtement","robe","normande",,1,1,"3S gt","0 3 0","gros tournois","3S gt","0 3 0","gros tournois",
1025,199,,"capitegia","tête","chapeau",,,"?",,,,,"9S gt","0 9 0","gros tournois",
1027,200,,"fourrure de corset","fourrure","corset",,"Ambronay",1,1,,,,,,,
1027,201,,"fourrure de mantel","fourrure","mantel",,"Ambronay",1,1,,,,,,,
1027,202,,"pelisse","extérieur","pelisse",,"Ambronay",2,2,,,,,,,
1035,203,,"fourrure de chaperon","fourrure","chaperon",,,1,1,,,,,,,"Adoubement de nouveaux chevaliers à Ripaille"
1040,204,,"couverture","mobilier","couverture",,,,,,,,,,,"Adoubement de nouveaux chevaliers à Ripaille"
1042,205,,"fourrure de chaperon","fourrure","chaperon",,,"4 pièces de 40 ventre chacunes",4,,,,"8.5FA","8.5","franc or","Adoubement de nouveaux chevaliers à Ripaille"
1049,206,,"fourrure de chaperon","fourrure","chaperon",,"Aoste","20 de 24v = 480v",20,"105FA les 1000v","0.105","franc or",,,,"Adoubement de nouveaux chevaliers à Ripaille"
1049,207,,"fourrure de chaperon","fourrure","chaperon",,"Aoste","20 de 32v = 600v",20,"105FA les 1000v","0.105","franc or",,,,"Adoubement de nouveaux chevaliers à Ripaille"
1049,208,,"fourrure de mantel","fourrure","mantel",,"Aoste","6 de 200v = 1600v",6,"105FA lex 1000v","0.105","franc or",,,,"Adoubement de nouveaux chevaliers à Ripaille"
1049,209,,"fourrure de mantel","fourrure","mantel",,"Aoste","6 de 100v = 600v",6,"105FA v les 1000v","0.105","franc or",,,,"Adoubement de nouveaux chevaliers à Ripaille"
1050,210,,"couverture","mobilier","couverture",,"Avignon","3 de 145v",3,,,,"75FA de F et 6D gt",75,"franc or","Adoubement de nouveaux chevaliers à Ripaille"
1056,211,,"turban","tête","turban",,"Avignon",1,1,,,,,,,"Adoubement de nouveaux chevaliers à Ripaille"
1057,212,,"capellus","tête","chapeau",,"Avignon",8,8,,,,"1FA et 6D gt",1,"franc or","Adoubement de nouveaux chevaliers à Ripaille"
1058,213,,"gipon","ajusté","gipon",,"Avignon",1,1,,,,"1FA et 8D gt",1,"franc or","Adoubement de nouveaux chevaliers à Ripaille"
1076,214,,"pelice","extérieur","pelisse",,,2,2,,,,,,,
1081,215,,"fustanei","vêtement","futaine",,,2,2,,,,,,,
1081,216,,"robe","vêtement","robe",,,3,3,,,,,,,
1083,217,,"fourrure de chaperon","fourrure","chaperon",,,2,2,,,,,,,
1084,218,,"couverture","mobilier","couverture",,,1,1,,,,,,,
1095,219,,"draps","mobilier","linteamenta",,,,,,,,,,,"ivrée pour sépulture d'Aymon"
1097,220,,"couverture de cercueil","religieux","couverture","funéraire",,1,1,,,,,,,"ivrée pour sépulture d'Aymon"
