"CodeCommande","CodePFF","FNature","Type Parure","Nature Parure","Carac Parure","FLieuAchat","FQuantite","quantite","FPrixUnitaire","prix unitaire","monnaie prix unitaire","FPrixGlobal","prix global","monnaie prix global","FOccasion"
408,352,"doublure de chaperon","doublure","chaperon",,,"?",,,,,,,,
411,353,"couverture de cheval","cheval","couverture","de cheval",,3,3,,,,,,,"comprend dans le prix la façon"
413,354,"chasuble de chapelle","religieux","chasuble",,,1,1,,,,,,,"comprend dans le prix la façon"
419,355,"doublure de chaperon","tête","chaperon",,,,,,,,,,,"sert aussi pour la cape"
419,356,"doublure de cape","doublure","cape",,,1,1,,,,,,,"sert aussi pour chaperon"
419,357,"mantel","extérieur","mantel",,,1,1,,,,,,,
423,358,"linteamentum","mobilier","linteamenta",,,"?",,,,,,,,
427,359,"chausses","chausses","chausses",,,"?",,,,,,,,
428,360,"doublure de corset","doublure","corset",,,"?",,,,,,,,
429,361,"doublure de corset de serge","intérieur","corset","de serge",,1,1,,,,,,,
433,362,"écusson","autre","écusson",,,"?",,,,,,,,
434,363,"robe","vêtement","robe",,,1,1,,,,,,,"sert aussi pour la couverture et la garnache"
434,364,"couverture","mobilier","couverture",,,1,1,,,,,,,"sert pour la robe et la garnache"
434,365,"garnache","extérieur","garnache",,,1,1,,,,,,,"sert pour la couverture  et la robe"
437,366,"robe","vêtement","robe",,,"?",,,,,,,,
438,367,"robe","vêtement","robe",,,"?",,,,,,,,
441,368,"linteamentum","mobilier","linteamenta",,,"?",,,,,,,,"la façon est comprise dans le prix de l'item"
445,369,"doublure de couverture","doublure","couverture",,,,,,,,,,,
447,370,"robe partitée","vêtement","robe","partité",,2,2,,,,,,,
448,371,"couverture de cheval","cheval","couverture","de cheval",,"?",,,,,,,,
452,372,"mantel","extérieur","mantel",,,1,1,,,,,,,
453,373,"couverture","mobilier","couverture",,,1,1,,,,,,,"adoubement"
454,374,"doublet","ajusté","doublet",,,2,2,,,,,,,
469,375,"pourfil de corset","pourfil","corset",,,,,,,,,,,
