"CodePersonne","Nom_pdox","Qualite","Identité","Nom","occupation","rattachement","Surnom","Diminutif","titre","sexe"
362,"?","Demoiselle de Genève","Demoiselle de Genève","Demoiselle de Genève","damoiselle",,,,,"F"
406,"?","écuyer A6","écuyer d'Amédée VI","écuyer d'Amédée VI","écuyer","Amédée VI, comte de Savoie",,,,"M"
658,"?","écuyer de Jordano de Boc Esraynt","écuyer de Jordano de Boc Esraynt","écuyer de Jordano de Boc Esraynt","écuyer",,,,,"M"
430,"?","écuyer de la Comtesse (A6)","écuyer de Bonne de Bourbon","écuyer de Bonne de Bourbon","écuyer","Bonne de Bourbon",,,,"M"
833,"?","écuyer de la Contesse Yolande","écuyer de Yolande comtesse de Savoie","écuyer de Yolande comtesse de Savoie","écuyer","Yolande comtesse de savoie",,,,"M"
389,"?","écuyer du Domini de Sancti Ter... ?","écuyer du Domini de Sancti Ter... ?","écuyer du Domini de Sancti Ter... ?","écuyer",,,,,"M"
401,"?","electo d'A6","lecteur d'Amédée VI","lecteur d'Amédée VI","lecteur","Amédée VI, comte de Savoie",,,,"M"
249,"?","femme  de Domino de Castellione","femme du seigneur de Chatillon","femme du seigneur de Chatillon",,,,,,"F"
38,"?","femme de Bernardi Ambrosii","Femme de Bernard Ambrosi","Femme de Bernard Ambrosi",,,,,,"F"
166,"?","femme de Guardi apothicaire","femme de Guardi l'apothicaire","femme de Guardi l'apothicaire",,,,,,"F"
666,"?","femme de Johanni Cusini","femme de Johan Cusin","femme de Johan Cusin",,,,,,"F"
165,"?","femme de Nichola Demper","femme de Nicolas Demper","femme de Nicolas Demper",,,,,,"F"
208,"?","fils d'Amtermi","fils d'Amterm","fils d'Amterm",,,,,,"M"
872,"?","fils d'Aymon","Amédée VI","Amédée VI","fils","Aymon comte de savoie",,,,"F"
732,"?","fils de Aubeville","fils de Aubeville","fils de Aubeville",,,,,,"M"
656,"?","fils de Domini Viriseti","fils du segneur de Viriset","fils du seigneur de Virtiset",,,,,,"M"
271,"?","fils de Rameleti","fils de Johan Ramelet armurier","fils de Johan Ramelet armurier",,"Johan Ramelet armurier",,,,"M"
320,"?","fils du Domino de Varambon","fils du seigneur de Varambon","fils du seigneur de Varambon",,,,,,"M"
137,"?","fournier","fournier d'Amédée V","fournier d'Amédée V","fournier","Amédée V",,,,"M"
419,"?","fournier d'A6","fournier d'Amédée VI","fournier d'Amédée VI","fournier","Amédée VI, comte de Savoie",,,,"M"
535,"?","garçon de cuisine A5","garçon de cuisine d'Amédée V","garçon de cuisine d'Amédée V","garçon de cuisine","Amédée V",,,,"M"
410,"?","garde de Chambéry de la soeur d'A6","garde chambérien de Blanche fille d'Aymon de Savoie","garde chambérien de Blanche fille d'Aymon de Savoie","garde",,,,,"M"
240,"?","gardien","garde","garde","garde","Aymon comte de savoie",,,,"M"
578,"?","gardien du coursier de frise d'A5","garde du coursier de frise d'Amédée V","garde du coursier de frise d'Amédée V","garde","Amédée V",,,,"M"
871,"?","juif marchand","juif marchand","juif marchand","marchand",,,,"juif","M"
475,"?","lecteur d' A6",,,,,,,,
573,"?","lecteur d'A5","lecteur d'Amédée V","lecteur d'Amédée V","lecteur","Amédée V",,,,"M"
246,"?","lecteur des Damoiselles de Yolande","lecteur de Marguerite et blanche de Savoie fille d'Aymon","lecteur de Marguerite et blanche de Savoie fille d'Aymon","lecteur",,,,,"M"
636,"?","lecteur du Comte Eduardi","lecteur d'Édouard comte de Savoie","lecteur d'Édouard comte de Savoie","lecteur","Édouard comte de Savoie",,,,"M"
831,"?","médecin de la Comtesse Yolande","médecin de Yolande comtesse de Savoie","médecin de Yolande comtesse de Savoie","médecin","Yolande comtesse de savoie",,,,"M"
454,"?","menestrerio d'A6","ménèstrel d'Amédée VI","ménèstrel d'Amédée VI","ménestrier","Amédée VI, comte de Savoie",,,,"M"
175,"?","mercière? femme du dit Liarre","femme du dit Liarre","femme du dit Liarre","mercière","Liarre",,,,"F"
319,"?","messager du Domino Manfredi de Carre","messsager du seigneur Manfred de Carre","messsager du seigneur Manfred de Carre","messager",,,,,"M"
309,"?","monne et fille de la dite Cara","monne et fille de la dite Cara","monne et fille de la dite Cara","moniale",,,,,"F"
48,"?","nourrisse","nourrice","nourrice","nourrice",,,,,"F"
330,"?","nourrice d'Amedei fils d'Aymon","Lionette nourrice d'Amédée VI","Lionette nourrice d'Amédée VI","nourrice","Amédée VI",,,,"F"
740,"?","nouveau pannetier d'Aymon","panetier d'Aymon comte de Savoie","panetier d'Aymon comte de Savoie","panetier","Aymon comte de savoie",,,,"M"
227,"?","operatreti","operatori","operatori","operatori",,,,,"M"
782,"?","pêcheur du comte de Genève","pêcheur d'Amédée III de Genève","pêcheur d'Amédée III de Genève","pêcheur","Amédée III",,,,"M"
873,"?","pelletier d'Ambronnais","pelletier d'Ambronnais","pelletier d'Ambronnais","pelletier",,,,,"M"
852,"?","petit menestrerio","petit ménestrier","petit ménestrier","ménestrier",,,,,"M"
384,"?","reclus du bourget","reclus du bourget","reclus du bourget","reclus",,,,,"M"
870,"?","recluse d'Aquiam","reclus d'Evian","reclus d'Evian","reclus",,,,,"M"
385,"?","recluse du bourget","recluse du bourget","recluse du bourget","reclus",,,,,"F"
436,"?","regulario domini Alte Combe","moine d'Hautecombe","moine d'Hautecombe","moine",,,,,"M"
195,"?","sellier d'A5","sellier d'Amédée V","sellier d'Amédée V","sellier","Amédée V",,,,"M"
834,"?","tailleur de la Comtesse Yolande","tailleur de Yolande comtesse de Savoie","tailleur de Yolande comtesse de Savoie","tailleur","Yolande comtesse de savoie",,,,"M"
694,"?","theoconico d'Eduardi","theoconico d'Édouard comte de Savoie","theoconico d'Édouard comte de Savoie","theoconico","Édouard comte de Savoie",,,,"M"
797,"?","trompette de Florence","trompette de Florence","trompette de Florence",,,,,,"M"
457,"?","trompette du Seigneur de Milan","trompette de Galéas Visconti de Milan","trompette de Galéas Visconti de Milan","trompette",,,,,"M"
704,"?","tuillier du Bourget","tuilier du Bourget","tuilier du Bourget","tuilier",,,,,"M"
429,"?","vacher","vacher","vacher","vacher",,,,,"M"
577,"?","valet d'A5","valet d'Amédée V","valet d'Amédée V","valet","Amédée V",,,,"M"
823,"?","valet gardien du grand cheval du Comte de Genève","valet garde du grand cheval d'Amédée III","valet garde du grand cheval d'Amédée III","valet des chevaux ","Amédée III",,,,"M"
814,"?","valet juvanti couturier","valet couturier juvanti","valet couturier juvanti","valet couturier juvanti",,,,,"M"
825,"?","valet palfrenier du Comte de Genève","valet palefrenier d'Amédée III","valet palefrenier d'Amédée III","valet palefrenier","Amédée III",,,,"M"
676,"?","valet pelletiers (fourreur?)","valet pelletier","valet pelletier","valet pelletier",,,,,"M"
123,"?",,"inconnu","inconnu",,,,,,
164,"? de Montechabondi","Damoiselle de la Comtesse  Marie","de Montechabond","de Montechabond","damoiselle","Marie comtesse de Savoie",,,,"F"
523,"? de Morcis","nouveau chevalier","de Morcis","de Morcis","chevalier",,,,,"M"
613,"10 personnes","valets juvantium de Berteto codurei d'A5","valet couturier juvanti de berthet tailleur d'Amédée V","valet couturier juvanti de berthet tailleur d'Amédée V","valet couturier juvanti","Berthet taillleur d'Amédée V",,,,"M"
75,"13 personnes","valets d' A5","valet d'Amédée V","valet d'Amédée V","valet","Amédée V",,,,"M"
767,"15 personnes","nouveau chevalier d'A5","chevalier d'Amédée V","chevalier d'Amédée V","chevalier","Amédée V",,,,"M"
354,"2 personnes","associés de Petri Laniar","associé de Pierre Laniar","associé de Pierre Laniar","associé","Pierre Laniar",,,,"M"
670,"2 personnes","barbiers d'Eduardi","barbier d'Édouard comte de Savoie","barbier d'Édouard comte de Savoie","barbier","Édouard comte de Savoie",,,,"M"
800,"2 personnes","chariotonibus d'A6","charretier d'Amédée VI","charretier d'Amédée VI","charretier","Amédée VI, comte de Savoie",,,,"M"
564,"2 personnes","chevalier d'A5",,,,,,,,"M"
580,"2 personnes","chevaliers d'A5",,,,,,,,"M"
853,"2 personnes","clercs de la chapelle d'Aymon","Clerc de la chapelle d'Aymond comte de Savoie","Clerc de la chapelle d'Aymond comte de Savoie","clerc de la chapelle","Aymon comte de savoie",,,,"M"
185,"2 personnes","Damoiselles","Damoiselle","Damoiselle","damoiselle",,,,,"M"
275,"2 personnes","écuyers de la curie","écuyer de la curie","écuyer de la curie","écuyer",,,,,"M"
308,"2 personnes","gardiens des chevaux d'Aymon","garde des chevaux d'Aymon","garde des chevaux d'Aymon","garde des chevaux","Aymon comte de savoie",,,,"M"
387,"2 personnes","messagers","messager","messager","messager",,,,,"M"
729,"2 personnes","messagers des seigneurs de Milan","messager de Galéas Visconti de Milan","messager de Galéas Visconti de Milan","messager",,,,,"M"
321,"2 personnes","messagers du seigneur de Milan",,,,,,,,"M"
533,"2 personnes","petits clercs","petit clerc","petit clerc","clerc",,,,,"M"
582,"2 personnes","valets d'A5",,,,,,,,"M"
70,"2 personnes","valets d'écurie d' Angleterre","valet d'écurie d' Angleterre","valets d'écurie d' Angleterre","valet d'écurie",,,,,"M"
638,"2 personnes","valets pelletiers",,,,,,,,"M"
637,"2 personnes","valets tailleurs",,,,,,,,"M"
553,"21  personnes","chevaliers d'A5",,,,,,,,"M"
668,"21 personnes","écuyers de Domine l'Imperatrici","écuyer de la dame Impératrice","écuyer de la dame Impératrice","écuyer",,,,,"M"
172,"22 personnes","écuyer d'A5 et de la Duchesse","écuyer d'Amédée V","écuyer d'Amédée V","écuyer","Amédée V",,,,"M"
534,"3 personnes","valets A5",,,,,,,,"M"
683,"3 prersonnes","familiers de la cour d'Eduardi","familier d'Édouard comte de Savoie","familier d'Édouard comte de Savoie","familier","Édouard comte de Savoie",,,,"M"
610,"34 personnes","écuyers d'A5",,,,,,,,"M"
622,"37 personnes","valets juvantis du couturier","valet couturier juvanti","valet couturier juvanti",,,,,,"M"
352,"4 personnes","écuyers du domino Petri Laniar","écuyer de Pierre Laniar","écuyer de Pierre Laniar","écuyer","Pierre Laniar",,,,"M"
322,"4 personnes","menestreriis du Domino Merquoni","ménestier du seigneur Merquoni","ménestier du seigneur Merquoni","ménestrier",,,,,"M"
223,"4 personnes","menestrerio du seigneur de Milan","ménestrier de Galéas Visconti de Milan","ménestrier de Galéas Visconti de Milan","ménestrier",,,,,"M"
718,"4 personnes","valets","valet","valet",,,,,,"M"
675,"4 personnes","valets couturiers","valet couturier","valet couturier","valet couturier",,,,,"M"
428,"4 personnes","valets de la future femme d'A6 Jehanne","valet de de jehanne de Bourgogne fiancée d'Amédée VI","valet de de jehanne de Bourgogne fiancée d'Amédée VI","valet","jehanne de Bourgogne",,,,"M"
547,"5 personnes","associés de Johanni Burtout theoconico","associé de Johan Burtout theoconico","associé de Johan Burtout theoconico","theoconico",,,,,"M"
532,"5 personnes","écuyers A5",,,,,,,,"M"
255,"5 personnes","écuyers du Piémont","écuyer du Piémont","écuyer du Piémont","écuyer",,,,,"M"
581,"6 personnes","valets de la chambre du roi de france","valet de chambre de Louis X roi de France","valet de chambre de Louis X roi de France","valet de chambre",,,,,"M"
171,"61 personnes","codureis","couturier","couturier","couturier",,,,,"M"
775,"7 personnes","pauvres","pauvre","pauvre","pauvre",,,,,
648,"Ablandi",,"Ablandi",,,,,,,"M"
757,"Adaneto","terrassier","Adanet","Adanet","terrassier",,,,,"M"
174,"Agathe Picardi","mercière?","Agathe Picard","Agathe Picard","mercier",,,,,"F"
549,"Agnete","filli A5","Agnès fille d'Amédée V","Agnés","fille","Amédée V",,,,"F"
215,"Aguilleto de Bignino",,"Aguillet de Bignin","Aguillet de Bignin",,,,,,"M"
628,"Alaisia","chambrière de la Comtesse Blanche","Alaysie chambrière de Blanche","Alaysie","chambrier","Blanche comtesse de Savoie",,,,"F"
812,"Alaisia","femme de Bartholomei Dombotat","Alaisie femme de Bartholomé Dombotat","Alasie",,,,,,"F"
758,"Alaverna",,"Alaverna","Alaverna",,,,,,"F"
106,"Alaysie","Damoiselle de Beatrice, fille d'A5","Alaisie demoiselle de Béatrix fille d'Amédée V","Alaisie","damoiselle","Béatrix de Savoie fille d'Amédée V",,,,"F"
124,"Alaysie de Gresiaco",,"Alaisie de Gresy","Alaisie de Gresy",,,,,,"F"
822,"Alequano","fauconnier","Alequen fauconnier","Alequan","fauconnier","Amédée VI, comte de Savoie",,,,"M"
887,"Alexandri Gamberrelli",,"Alexandre Gamberrelli","Alexandre Gamberrelli",,,,,,"M"
846,"Aleysie",,"Alaisie","Alaisie",,,,,,"F"
433,"Alisia","magistra Domine","Alaisie maitresse de Yolande comtesse de Savoie","Alaisie",,"Yolande comtesse de savoie",,,"maitresse","F"
53,"Alisie de Beleinde",,"Alaisie de Beleinde","Alaisie de Beleinde",,,,,,"F"
307,"Alisie de Bignino","Damoiselle de la Comtesse Yolande","Alaisie de Bignin","Alaisie de Bignin","damoiselle","yolande comtesse de savoie",,,,"F"
868,"Alixia de Chignini","Damoiselle de Yolande","Alixia de Chignin","Alixia de Chignin","damoiselle","yolande comtesse de savoie",,,,"F"
228,"Amblardeti Boni","de Chambéry","Amblardet Boni de Chambéry","Amblardet Boni de Chambéry",,,,,,"M"
497,"Amblardi","Domini","Amblard","Amblard",,,,,"seigneur","M"
478,"Amblardo Rosseti","pelletier","Amblard Rosset","Amblard Rosset","pelletier",,,,,"M"
14,"Amédée 5","Comte de Savoie","Amédée V","Amédée V",,,,,"Comte de Savoie","M"
316,"Amédée 6","Comte","Amédée VI, comte de Savoie","Amédée VI",,,,,"Comte de Savoie","M"
265,"Amedei","fils d'Aymon","Amédée VI, comte de Savoie","Amédée VI","fils","Aymon comte de savoie",,,"Comte de Savoie","M"
313,"Amedei","fratri principis nepoti d'Aymon","Amédée VI, comte de Savoie","Amédée VI, comte de Savoie","fils","Aymon comte de savoie",,,"Comte de Savoie","M"
745,"Amedei de Hospitalis",,"Amédée de l'Hôpital","Amédée de l'Hôpital",,,,,,"M"
746,"Amedei de Solnis","écuyer d'Aymon","Amédée de Solnis","Amédée de Solnis","écuyer","Aymon comte de savoie",,,,"M"
270,"Amédéi petit fils d'Aymon",,"Amédée VI, comte de Savoie","Amédée VI","fils","Aymon comte de savoie",,,"Comte de Savoie","M"
33,"Amedeo de Bignino","bourgeois de Chambéry","Amédée de Bignin","Amédée de Bignin",,,,,"bourgeois de Chambéry","M"
859,"Andrea","Domino","Andrée","Andrée, seigneur",,,,,"seigneur","M"
262,"Andree","magistri","Andrée","Andrée",,,,,"maître","M"
643,"Andree","magistri","Andrée","Andrée",,,,,"maître","M"
713,"Andree Bondonne","juge du bourg","Andrée Bondonne","Andrée Bondonne","juge","Édouard comte de Savoie",,,,"M"
276,"Andree Boni",,"Andrée boni","Andrée boni",,,,,,"M"
219,"Andree Bonichristiani","Guillielmi","Andrée Bonchrétien","Andrée Bonchrétien",,,,,"maître","M"
167,"Andree de Montemeliano",,"Andrée de Montmélian","Andrée de Montmélian",,,,,,"M"
327,"Andree de Pisis",,"Andrée de Pise","Andrée de Pise",,,,,,"M"
41,"Andree Deniseti","pelletier de Chambéry","Andrée Deniset","Andrée Deniset pelletier de Chambéry","pelletier",,,,,"M"
576,"Andree Marescalci",,"Andrée Maréchal","Andrée Maréchal",,,,,,"M"
44,"Andree Quandie",,"Andrée Quandie","Andrée Quandie",,,,,,"M"
526,"Andreneti",,"Andrenet","Andrenet",,,,,,"M"
93,"Andreneti Deniseti","pelletier","Andrée Deniset","Andrée Deniset pelletier de Chambéry","pelletier",,,,,"M"
42,"Ansermo","médecin Magistro","Anseme","Anserme médecin","médecin",,,,"maître","M"
560,"Antelmo de Sancto Anthonio",,"Anserme de Saint-Antoine","Anserme de Saint-Antoine",,,,,,"M"
207,"Antermi","Domini","Anserme","Seigneur Enserme",,,,,"seigneur","M"
716,"Antermo de Festerna",,"Antoine de Féterne","Antoine de Féterne",,,,,,"M"
176,"Anthoni",,"Antoine","Antoine",,,,,,"M"
811,"Anthoni Bartholomei","marchand de Pignerol","Antoine Bartholomé","Antoine Bartholomé marchand de Pignerol","marchand",,,,,"M"
883,"Anthoni Bertholini",,"Antoine Bertholin","Antoine Bertholin",,,,,,"M"
567,"Anthoni de Claromonte",,"Antoine de Clermont","Antoine de Clermont",,,,,,"M"
462,"Anthoni de Ragiez","charpentier","Antoine de Ragiez","Antoine de Ragiez","charpentier",,,,,"M"
820,"Anthoni Garili","d'Avillania marchand?","Antoine Gari","Antoine Gari d'Avigliana","marchand",,,,,"M"
495,"Anthoni Inclari","tondeur","Antoine Inclar","Antoine Inclar","tondeur",,,,,"M"
615,"Anthoni Insi","De Secusia","Antoine Insi","Antoine Insi de Suze",,,,,,"M"
156,"Anthonia","chambrière","Antonia","Antoinia","chambrier",,,,,"F"
136,"Anthonie","servante des filles d' A5","Antonia","Antonia servante des filles d'Amédée V","servant","Agnès fille d'Amédée V",,,,"F"
784,"Anthonio Balardi","marchand d'avillaniam","Antoine Balard","Antoine Balard marchand d'Avigliana","marchand",,,,,"M"
807,"Aperto","messager","Apert messager d'Amédée VI","Apert","messager","Amédée VI, comte de Savoie",,,,"M"
709,"Aquerneti","juif","Aquernet","Aquernet","juif",,,,,"M"
490,"Archevêque de Milan",,"Archevêque de Milan","Archevêque de Milan","archevêque",,,,,"M"
425,"Armando","venatori","Armand veneur d'Amédée VI","Armand","veneur","Amédée VI, comte de Savoie",,,,"M"
260,"Arnondoni","rentre dans les ordres","Armand","Armand","écclésiastique",,,,,"M"
768,"Aymaro de Bellonidere",,"Aymar de Bellonidere","Aymar de Bellonidere",,,,,,"M"
315,"Aymon","Comte","Aymon comte de Savoie","aymon","fils","Amédée V",,,"Comte de Savoie","M"
77,"Aymone Passet",,"Aymon Passet","Aymon Passet",,,,,,"M"
370,"Aymoneti","cisori A6","Aymon le tailleur d'Amédée VI","Aymon","tailleur","Amédée VI, comte de Savoie",,,,"M"
671,"Aymoni","Domini","Aymon comte de Savoie","Aymon",,,,,"Comte de Savoie","M"
896,"Aymoni","fils d'A5","Aymon comte de Savoie","Aymon","fils","Amédée V",,,"Comte de Savoie","M"
325,"Aymoni","fils de Guigoni de Sancto Apro","Aymon fil de Guigon de Saint-Apro","Aymon",,,,,,"M"
138,"Aymoni","portier","Aymon","Aymon","portier","Amédée V",,,,"M"
479,"Aymoni (de Castio?)","tailleur d'A6","Aymon le tailleur d'Amédée VI","Aymon","tailleur","Amédée VI, comte de Savoie",,,,"M"
261,"Aymoni Chanaliri","maréchal ferrant","Aymon Chanaliri","Aymon Chanaliri","Maréchal-ferrant",,,,,"M"
698,"Aymoni de Camera",,"Aymon de la Chambre","Aymon de la Chambre",,,,,,"M"
809,"Aymoni de Challant",,"Aymon de Challant","Aymon de Challant",,,,,,"M"
589,"Aymoni de Sancto Claude",,"Aymon de Saint-Claude","Aymon de Saint-Claude",,,,,,"M"
856,"Aymoni de Verdon...?",,"Aymon de Verdon","Aymon de Verdon",,,,,,"M"
210,"Aymoni Luppi",,"Aymon Loup","Aymon loup",,,,,,"M"
26,"Aymoni Quandie","bourgeois de Chambéry","Aymon Quandie","Aymon Quandie bourgeois de Chambéry",,,,,"bourgeois de Chambéry","M"
183,"Aymonino Ginote","lathomo magistro","Aymonin Ginote","Aymonin Ginote","maçon",,,,"maître","M"
639,"Aynide de Camera","Domini","Aynide de la Chambre","seigneur Aynide de la Chambre",,,,,"seigneur","M"
772,"Barleri","couturier","Barleri","Barleri","couturier",,,,,"M"
619,"Barrel...","Domini","seigneur Barrel..","seigneur Barrel..",,,,,"seigneur","M"
818,"Bartholomei Balbiani","d'Avillania marchand?","Bartholomé Balbiani marchand d'Avigliana","Bartholomé Balbiani","marchand",,,,,"M"
893,"Bartholomeo Taberne","bailli d'Avillania","Bartholomé Taberne bailli d'Avigliana","Bartholomé Taberne","bailli",,,,,"M"
192,"Basiano de Gachiis","Domino","Basiano de Gachiis","seigneur Basiano de Gachiis",,,,,"seigneur","M"
331,"bâtard (petit) de Sancti Regnani (d' aymon)",,"Petit bâtard de Saint-Regnani","Petit bâtard de Saint-Regnani","bâtard","Aymon comte de savoie",,,"bâtard","M"
781,"Bâtard d'A6",,"bâtard d'Amédée VI","bâtard d'Amédée VI","bâtard","Amédée VI, comte de Savoie",,,"bâtard","M"
258,"bâtard d'Artisiodorem d'Aymon",,"bâtard d'Artisiodorem d'Aymon","bâtard d'Artisiodorem d'Aymon","bâtard","Aymon comte de savoie",,,"bâtard","M"
874,"Bâtard d'Aymon",,"bâtard d'Aymon","bâtard d'Aymon","bâtard","Aymon comte de savoie",,,"bâtard","M"
259,"bâtard de Lyon d'Aymon",,"bâtard de Lyon d'Aymon","bâtard de Lyon d'Aymon","bâtard","Aymon comte de savoie",,,"bâtard","M"
266,"bâtard mineur d'Aymon",,"bâtard mineur d'Aymon","bâtard mineur d'Aymon","bâtard","Aymon comte de savoie",,,"bâtard","M"
776,"bâtard petit d'Aymon",,"Petit bâtard de Saint-Regnani","Petit bâtard de Saint-Regnani","bâtard","Aymon comte de savoie",,,"bâtard","M"
30,"Batheti",,"Bathet","Bathet",,,,,,"M"
111,"Beatrisie","femme de Bertholi de Sillani de Chambéry","Béatrice femme de Bertholo de Sillani de Chambéry","Béatrice femme de Bertholo de Sillani de Chambéry",,,,,,"F"
63,"Beatrix","Dame","Béatrix de Savoie fille d'Amédée V","Béatrix de Savoie fille d'Amédée V","fille","Amédée V",,,,"F"
131,"Beatrix","fille d' A5","Béatrix de Savoie fille d'Amédée V","Béatrix de Savoie fille d'Amédée V","fille","Amédée V",,,,"F"
892,"Belioci","Guillielmi","Bellico le bâtard","Bellico le bâtard",,,,,,"M"
157,"Belone","tondeur veuve de Petri cissori","Bellilone veuve de pierre le tailleur","Bellilone veuve de pierre le tailleur",,,,,,"M"
821,"Benevenuti Martini","de Ripaille marchand?","Benevenuti Martini marchand de Ripailles","Benevenuti Martini marchand de Ripailles","marchand",,,,,"M"
886,"Berardi Pellete",,"Berard Pellete","Berard Pellete",,,,,,"M"
180,"Berchat","portier de la Comtesse Marie","Berchat","Berchat","portier","Marie comtesse de Savoie",,,,"M"
747,"Berlionis","familier d'Aymon","Berlion familier d'Aymon","Berlion",,,,,"familier","M"
56,"Bernardeti Giraudi",,"Bernardet Giraud","Bernardet Giraud",,,,,,"M"
367,"Bernardi","écuyer de Blanche soeur d'A6","Bernard","Bernard","écuyer","Blanche de Savoie",,,,"M"
865,"Bernardi",,"Bernard","Bernard",,,,,,"M"
28,"Bernardo de Bamber","bourgeois","Bernard de Bamber","Bernard de Bamber",,,,,"bourgeois","M"
506,"Bernardum",,"Bernard","Bernard",,,,,,"M"
397,"Bernardum de Murbello","(Montbel)","Bernard de Montbel","Bernard de Montbel",,,,,,"M"
837,"Berteti","tailleur de Yolande","Berthet taillleur de Yolande","Berthet","tailleur","yolande comtesse de savoie",,,,"M"
289,"Berteti Fromentini","cisori d'Aymon","Berthet Fromentin","Berthet Fromentin","tailleur","Aymon comte de savoie",,,,"M"
738,"Berteto","bastardo curati Yenne","Berthet bâtard du curateur de Yenne","Berthet",,,,,,"M"
170,"Bertheti","cisori  d'A5","Berthet taillleur d'Amédée V","Berthet taillleur d'Amédée V","couturier","Amédée V",,,,"M"
557,"Bertholito de Sancto Marcello","marchand?","Bertholet de Saint-Marcelle","Bertholet de Saint-Marcelle","marchand",,,,,
624,"Blanche","Comtesse femme d'Eduardi","Blanche comtesse de Savoie","Blanche","femme","Édouard comte de Savoie",,,"comtesse de savoie","F"
89,"Blanche","Dame","Blanche de Savoie","Blanche de Savoie soeur d'Amédée VI","fille","Aymon comte de savoie",,,,"F"
360,"Blanche","Demoiselle de Savoie soeur d'A6","Blanche de Savoie","Blanche de Savoie soeur d'Amédée VI","fille","Aymon comte de savoie",,,,"F"
37,"Blondelli","tailleur (?)","Blondel","Bondel","tailleur",,,,,"M"
236,"Bonerio","tondeur","Bonerio","Bonerio","tondeur",,,,,"M"
750,"Bonifacio","cuisinier d'Aymon","Boniface","Boniface","cuisinier","Aymon comte de savoie",,,,"M"
312,"Bonifacio","magistro","Boniface","maître Boniface",,,,,"maître","M"
399,"Bonifacio de Burgeto","cuisinier d'A6","Boniface du Bourget","Boniface du Bourget","cuisinier","Amédée VI, comte de Savoie",,,,"M"
848,"Bono Johannono Patri","marchand","Bono Johannono Patri","Bono Johannono Patri","marchand",,,,,"M"
238,"Borerio?","cisori","Borerio","Borerio","tailleur",,,,,"M"
