"Id";"identite";"Nom";"Surnom";"Diminutif";"Occupation";"Titre";"Sexe";"VilleDomicile";"VilleOrigine";"Remarques";"Rattachement";"MaJ_occupations"
113;"Hugonin l'archer";"Hugonin";;;"Inconnue";"archer";"M";;;"attachement peut être à Amédée VII";"6";1
114;"François d'Arenthon";"François d'Arenthon";;;"Inconnue";"seigneur";"M";;;"peut être attachement à Amédée VI";;0
115;"Jacques de Moudon";"Jacques de Moudon";;;"Inconnue";"ingénieur";"M";;;;"6";1
116;"Jacquemet Maréchal";"Jacquemet Maréchal";;;"Inconnue";"page";"M";;;;"6";1
117;"Johan Poret";"Johan Poret";;;"Inconnue";"maçon";"M";;;;;1
118;"valet de Argrinan l'Allemand";;;;"Inconnue";"valet";"M";;;;"Argrinan l'Alemand";1
119;"Argrinan l'Allemand";"Argrinan l'Allemand";;;"Inconnue";;"M";;;;;1
120;"écuyer du comte de Quibor";;;;"Inconnue";"écuyer";"M";;;;"comte de Quibor";1
121;"Quibor";"Quibor";;;"Inconnue";"comte";"M";;;;;1
122;"bâtard de Glarens";"bâtrad de Glarens";;;"Inconnue";;"M";;;;"7";1
123;"Michel de la bouteillerie";"Michel";;;"Inconnue";"valet de bouteillerie";"M";;;;"7";1
124;"Antoine de Sellenove";"Antoine de Sellenove";;;"Inconnue";;"M";;;;;1
125;"Simond le ferratier";"Simond";;;"Inconnue";;"M";;;;;1
126;"Simond l'armurier";"Simond";;;"Inconnue";"armurier";"M";;;;;1
127;"Petremand le ménèstrel";"Petremand le ménèstrel";;;"Inconnue";"ménèstrèl";"M";;;;"6";1
128;"Pierrot Henri";"Pierrot Henri";;;"Inconnue";"ménèstrèl";"M";;;;"6";1
129;"Johan d'Orliée";"Johan d'Orliée";;;"Inconnue";"écuyer";"M";;;;"7";1
130;"Johan de Sainte-Croie";"Johan de Sainte-Croie";;;"Inconnue";;"M";;;;;1
131;"escoffier de Joste Ranier";;;;"Inconnue";"escoffier";"M";"Joste Ranier";;;;1
132;"Johan de Lausanne";"Johan de Lausanne";;;"Inconnue";"couturier";"M";;;;;1
133;"Nicolet le sellier";"Nicolet";;;"Inconnue";"sellier";"M";;;;;1
134;"Perrin l'arbalètrier";"Perrin";;;"Inconnue";"arbalètrier";"M";;;;;1
135;"Pasqualin l'arbalètrier";"Pasqualin";;;"Inconnue";"arbalètrier";"M";;;;;1
136;"Johannet de la Palu";"Johannet de la Pallu";;;"Inconnue";;"M";;;;;1
137;"bâtard le portier";"bâtard";;;"Inconnue";"portier";"M";;;;"6";1
138;"femme de Guigonet Genereis";;;;"Inconnue";;"F";;;;"Bonne de Bourbon";1
139;"Guigonet Genereis";"Guigonet Genereis";;;"Inconnue";"secrétaire";"M";;;;"Bonne de Bourbon";0
140;"Pierre de Lompnes";"Pierre de Lompnes";;;"Inconnue";;"M";;;;;1
141;"soeure de Pierre de Lompnes";;;;"Inconnue";;"F";;;;;1
142;"Reycon de Peytond";"Reycon de Peytond";;;"Inconnue";;"M";;;;;1
143;"Johannot de Vauruson";"Johannot de Vauruson";;;"Inconnue";"chambrier";"M";;;;;1
144;"La Buffete";"La Buffete";;;"Inconnue";;"M";;;;;1
145;"Gérard d'Estrée";"Gérard d'Estrée";;;"Inconnue";"seigneur";"M";;;;"7";1
146;"écuyer et bouteiller du roi de France";;;;"Inconnue";"écuyer";"M";;;;;1
147;"Johan de Lyon";"Johan de Lyon";;;"Inconnue";"pelletier";"M";"Chambéry";;;"Bonne de Bourbon";1
148;"charpentier du Bourget";;;;"Inconnue";"charpentier";"M";"Bourget";;;;1
149;"Antoine Barbier";"Antoine Barbier";;;"Inconnue";"maître des comptes d'Amédée VI";"M";"Chambéry";;;;1
150;"Jacob de Saint-Michel";"Jacob de Saint-Michel";;;"Inconnue";"citoyen";"M";"genève";;;;1
151;"Boniface";"Boniface";;;"Inconnue";;"M";;;;;1
152;"Animan de Unicroissent";"Animan de Unicroissent";;;"Inconnue";;"M";;;;;1
153;"Henris l'escoffier";"Henris";;;"Inconnue";"escoffier";"M";"Genève";;;;1
154;"Perronellet";"Perronellet";;;"Inconnue";;"M";;;;;1
155;"couturier";;;;"Inconnue";;"M";;;;;1
156;"tondeur";;;;"Inconnue";;"M";;;;;1
157;"Rolin Garin";"Rolin Garin";;;"Inconnue";"marchand";"M";"Lyon";;;;1
158;"Andrenet Caly";"Andrenet Caly";;;"Inconnue";;"M";"Lyon";;;;1
159;"Bartholome de Molon";"Bartholome de Molon";;;"Inconnue";"Marchand";"M";"Lyon";;;;1
160;"Gérard le juif";"Gérard";;;"Inconnue";"tondeur";"M";;;;;0
161;"Chivard de Monthon";"Chivard de Monthon";;;"Inconnue";"seigneur";"M";;;;;1
162;"Johan de Sion";"Johan de Sion";;;"Inconnue";"de la cuisine";"M";;;;"Bonne de Bourbon";1
163;"clerc de la chapelle";;;;"Inconnue";"clerc de la chapelle";"M";;;;;1
164;"Hugonet d'Arlo panetier d'Amédée VII";"Hugonet d'Arlo";;;"Inconnue";"paneterie";"M";;;;"7";1
165;"fille de Petit Pierre";;;;"Inconnue";;"M";;;;"Petit Pierre";1
167;"Hugonin le sellier";"Hugonin le sellier";;;"Inconnue";"sellier";"M";;;;;1
168;"Aymonet le fourbisseur";"Aymonet le fourbisseur";;;"Inconnue";"fourbisseur";"M";;;;;1
169;"Antonin le couturier";"Antonin";;;"Inconnue";"couturier";"M";;;;;1
170;"Manfrole le platier";"Manfrole";;;"Inconnue";"platier";"M";;;;;1
171;"François le Queue";"François";;;"Inconnue";"Queue";"M";;;;"6";1
173;"Sibuet de Briord";"Sibuet de Briord";;;"Inconnue";"châtelain";"M";;;;;1
174;"Johan Delanay";"Johan Delanay";;;"Inconnue";"capitaine";"M";;;;;1
175;"Johan le barbier";"Johan";;;"Inconnue";"barbier";"M";;;;"6";1
176;"femme de Johan de Druynt";;;;"Inconnue";;"F";;;;"Johan de Druynt";1
177;"chevalier de Bonne de Bourbon";;;;"Inconnue";"chevalier";"M";;;;"Bonne de Bourbon";1
179;"dame d'Entremont";;;;"Inconnue";"dame";"F";;;;"Bonne de Bourbon";1
180;"dame de Miolan";;;;"Inconnue";"dame";"F";;;;"Bonne de Bourbon";1
181;"dame de Saint-Pol";;;;"Inconnue";"dame";"F";;;;"Bonne de Bourbon";1
182;"demoiselle de la dame de Miolan";;;;"Inconnue";"demoiselle";"F";;;;"dame de Miolan";1
183;"demoiselle de la dame de Saint-Pol";;;;"Inconnue";"demoiselle";"F";;;;"dame de Saint-Pol";1
184;"demoiselle 1 de la dame d'Entremont";;;;"Inconnue";"demoiselle";"F";;;;"dame d'Entremont";1
185;"demoiselle 2 de la dame d'Entremont";;;;"Inconnue";"demoiselle";"F";;;;"dame d'Entremont";1
186;"clerc de Bonne de Bourbon";;;;"Inconnue";"clerc";"M";;;;"Bonne de Bourbon";1
187;"demoiselle de Bonne de Bourbon";;;;"Inconnue";"demoiselle";"F";;;;"Bonne de Bourbon";1
188;"chapelain de Bonne de Bourbon";;;;"Inconnue";"chapelain";"M";;;;"Bonne de Bourbon";1
189;"secrétaire de Bonne de Bourbon";;;;"Inconnue";"secrétaire";"M";;;;"Bonne de Bourbon";1
190;"écuyer de Bonne de Bourbon";;;;"Inconnue";"écuyer";"M";;;;"Bonne de Bourbon";1
191;"bon valet de Bonne de Bourbon";;;;"Inconnue";"bon valet";"M";;;;"Bonne de Bourbon";1
192;"Alesie lavandière de Bonne de Bourbon";"Alesie de Thonon";;;"Inconnue";"lavandière";"F";"Thonon";;;"Bonne de Bourbon";1
193;"petite Johannette";"petite Johannette";;;"Inconnue";"demoiselle";"F";;;"peut être avec la lavandière de Bonne de Bourbon";"Bonne de Bourbon";1
194;"clerc de la chapelle de Bonne de Bourbon";;;;"Inconnue";"clerc de la chapelle";"M";;;;"Bonne de Bourbon";1
195;"petit valet de Bonne de Bourbon";;;;"Inconnue";"petit valet";"M";;;;"Bonne de Bourbon";1
196;"valet des torches de Bonne de Bourbon";;;;"Inconnue";"valet des torches";"M";;;;"Bonne de Bourbon";1
197;"hôtel de bonne de Bourbon";"hôtel de Bonne de Bourbon";;;"Inconnue";;"M";;;;"Bonne de Bourbon";1
198;"femme de Romanet Picard";;;;"Inconnue";;"F";;;;"Romanet Picard";1
199;"femme de Pierre de Corgeron";;;;"Inconnue";"dame";"F";;;;"Pierre de Corgeron";1
200;"Pierre de Corgeron";"Pierre de Corgeron";;;"Inconnue";"seigneur";"M";;;;;1
201;"demoiselle de la femme de Pierre de Corgeron";;;;"Inconnue";"demoiselle";"F";;;;"femme de Pierre de Corgeron";1
202;"Sanghedemy";"Sanghedemy";;;"Inconnue";;"M";;;;;1
203;"Enard le couturier";"Enard";;;"Inconnue";"couturier";"M";;;;;1
204;"Theyne le chirurgien";"Theyne";;;"Inconnue";"chirurgien";"M";;;;;1
205;"Mignon";"Mignon";;;"Inconnue";"messager";"M";;;;"6";1
206;"Mermet Ronget";"Mermet Ronget";;;"Inconnue";"secrétaire";"M";;;;;1
207;"Guy Marchand";"Guy Marchand";;;"Inconnue";"secrétaire";"M";;;;"6";1
208;"Michelet du Crues";"Michelet du Crues";;;"Inconnue";"secrétaire";"M";;;;"6";1
209;"Aymon Bonivard";"Aymon Bonivard";;;"Inconnue";"seigneur";"M";"Chambéry";;;;1
210;"Brulafert";"Brulafert";;;"Inconnue";"armurier";"M";;;;"6";1
211;"Johan de la Valle";"Johan de la Valle";;;"Inconnue";"page";"M";;;;"6";1
212;"Jacquemet de Monthon";"Jacquemet de Monthon";;;"Inconnue";"écuyer";"M";;;;;1
213;"Thomas de Montmayeur";"Thomas de Montmayeur";;;"Inconnue";;"M";;;;;1
214;"Petit Roy";"Petit Roy";;;"Inconnue";"valet de bouteillerie";"M";;;;"Bonne de Bourbon";1
215;"Johan Lestole";"Johan Lestole";;;"Inconnue";"fourrier";"M";;;;"Comte de Genève";1
216;"Pierre valet de Johan Barbier";"Pierre";;;"Inconnue";"valet";"M";;;;"Johan le barbier";1
217;"Boniface de Challand";"Boniface de Challand";;;"Inconnue";"seigneur";"M";;;;;1
218;"femme de François Daniel";;;;"Inconnue";;"F";;;;"François Daniel";1
219;"Pierre Quartayne";"Pierre Quartayne";;;"Inconnue";;"M";"Entremont";;;;1
220;"Michelet de Tours";"Michelet de Tours";;;"Inconnue";;"M";;;;;1
221;"maréchal de Saint Fuerro";;;;"Inconnue";;"M";;;;;1
222;"Anequin l'Allemand";"Anequin l'Allemand";;;"Inconnue";;"M";;;;;1
223;"Pierre de Montfalcon";"Pierre de Monfalcon";;;"Inconnue";"page";"M";;;;"6";1
224;"Guillaume le palfrenier d'A6 et A7";"Guillaume";;;"Inconnue";"palfrenier";"M";;;;"6";1
225;"Johan Chabond de Paris";"Johan Chabond de Paris";;;"Inconnue";;"M";;;;;1
226;"Antoine de Jaspio";"Antoine de Jaspio";;;"Inconnue";;"M";"Evian";;;;1
227;"Bidalet d'Entremont";"Bidalet d'Entremont";;;"Inconnue";;"M";;;;;1
228;"Parlie Simeon";"Parlie Simeon";;;"Inconnue";;"M";;;;;1
229;"Johan Orsie";"Johan Orsie";;;"Inconnue";"tondeur";"M";;;;;1
230;"Louis de la Croix";"Louis de la Croix";;;"Inconnue";;"M";;;;;1
231;"Nicolin Coynda";"Nicolin Coynda";;;"Inconnue";;"M";;;;;1
232;"Pierre Sincler de la Val de Lanz";"Pierre Sincler de la Val de Lanz";;;"Inconnue";;"M";;;;;1
233;"Pierre Verret";"Pierre Verret";;;"Inconnue";"seigneur";"M";;;;;1
234;"Guillaume de Seraval";"Guillaume de Seraval";;;"Inconnue";"châtelain";"M";;;;;1
235;"fils de Chivard de Monthon";;;;"Inconnue";"page";"M";;;;"6";1
236;"Bondet le chapelain";"Bondet";;;"Inconnue";"chapelain";"M";;;;"Bonne de Bourbon";1
237;"Richard le mineur";"Richard";;;"Inconnue";;"M";"Val de Lanz";;;;1
238;"bâtard de Savoie";;;;"Inconnue";"bâtard";"M";;;;"7";1
239;"Chivalet";"Chivalet";;;"Inconnue";"page";"M";;;;"7";1
240;"Perrin le dorier";"Perrin";;;"Inconnue";"dorier";"M";;;;;1
241;"l'esclave Bonivard";"l'esclave Bonivard";;;"Inconnue";;"M";;;"johan bonivard donc voir s'il n'y à pas d'interaction";"7";1
242;"François Daniel";"François Daniel";;;"Inconnue";;"M";;;;;1
243;"Leisard l'escoffier";"Leisard";;;"Inconnue";"escoffier";"M";;;;;1
244;"valet fourreur";;;;"Inconnue";"valet fourreur";"M";;;;;1
245;"Pierre Mitre";"Pierre Mitre";;;"Inconnue";"pelletier";"M";;;;;1
246;"Johan Gota messager d'Amédée VII";"Johan Gota";;;"Inconnue";"messager";"M";;;;"7";1
247;"Jordanet valet d'Aymée d' Amberiou de Lyon";"Jordanet";;;"Inconnue";"valet";"M";;;;"Amberiou de Lyon";1
248;"page d'Amédée VI";;;;"Inconnue";;"M";;;;;1
249;"François Cornier";"François Cornier";;;"Inconnue";"tailleur";"M";"Paris";;;;1
250;"André Mulin";"Andrée Mulin";;;"Inconnue";;"M";;;;;1
251;"Poncet Christpien";"Poncet Christpien";;;"Inconnue";;"M";"Lyon";;;;0
252;"femme du bailli de Bresse";;;;"Inconnue";;"F";;;;"baillis de Bresse";1
253;"palfrenier d'Amédée VI";;;;"Inconnue";;"M";;;;;1
254;"voiturier";;;;"Inconnue";;"M";;;;;1
255;"femme de Johan Vionet";;;;"Inconnue";;"F";;;;"Johan Vionet";1
256;"Marguerite femme d'Hugonin l'archer";"Marguerite";;;"Inconnue";;"F";;;;"Hugonin l'archer";1
257;"Pierre le dorier";"Pierre";;;"Inconnue";"dorier";"M";;;;;1
258;"Guillaumin Panitere";"Guillaumin Panitere";;;"Inconnue";;"M";;;;;1
259;"Guillaume Cufilliastre Lorencet";"Guillaume Cufilliastre Lorencet";;;"Inconnue";"escoffier";"M";"Chambéry";;;;1
260;"Aron le Boytons";"Aron le Boytons";;;"Inconnue";"juif";"M";;;;;1
261;"Nicolet Ruoz secrétaire d'Amédée VII";"Nicolet Ruoz";;;"Inconnue";"secrétaire";"M";;;;"7";1
262;"écuyer et bouteillier du roi de France";;;;"Inconnue";;"M";;;;;1
263;"écuyer d'Amédée VII";;;;"Inconnue";;"M";;;;;1
264;"mesnie d'Amédée VII";;;;"Inconnue";;"M";;;;"7";1
265;" d'amédée VII";;;;"Inconnue";"chapelain";"M";;;;;0
266;"Bruyan Blanchard";"Bruyan Blanchard";;;"Inconnue";;"M";;;;;1
267;"valet de Bruyan Blanchard";"Johan";;;"Inconnue";"valet";"M";;;;;1
268;"Johan de la Fontaine chapelain d'Amédée VI et VII";"Johan de la Fontaine";;;"Inconnue";"chapelain";"M";;;;"6";0
269;"Guyonet";"Guyonet";;;"Inconnue";"clerc";"M";;;;"Johan de la Fontaine";1
271;"Piemont";"Piemont";;;"Inconnue";"ménèstrèl";"M";;;;"7";1
272;"Henri le ménèstrel";"Henri";;;"Inconnue";"ménèstrèl";"M";;;;"7";1
274;"Conchelin ménèstrel";"conchelin";;;"Inconnue";"ménèstrèl";"M";;;;"6";1
275;"Marquerin";"Marquerin";;;"Inconnue";"ménèstrèl";"M";;;;"6";1
279;"Oddonarde";"Oddonarde";;;"Inconnue";"ménèstrèl";"M";;;;"6";1
280;"Johan Caigne de Vinoles";"Johan Caigne de Vinoles";;;"Inconnue";;"M";;;;;1
282;"Priour le ménèstrel";"Priou";;;"Inconnue";"ménèstrèl";"M";;;;"7";1
283;"Bâtard Allemand";"bâtard Allemand";;;"Inconnue";;"M";;;;"7";1
284;"roy des hérauds";;;;"Inconnue";;"M";;;;;1
285;"Lepin le messager d'Amédée VI";"Lepin";;;"Inconnue";"messager";"M";;;;"6";1
286;"Pierre Chabond";"Pierre Chabond";;;"Inconnue";;"M";;;;;1
288;"Rup";"Rup";;;"Inconnue";;"M";;;;;1
289;"trompete de Chatillon";;;;"Inconnue";;"M";;;;"6";1
290;"femme de la trompette de Chatillon";;;;"Inconnue";;"F";;;;"trompete de Chatillion";1
291;"Pierre Grand";"Pierre Grand";;;"Inconnue";;"M";;;;;1
292;"Perod de Montaigne";"Perot de Montaigne";;;"Inconnue";"couturier";"M";;;;;1
294;"Dieulefil Bonivard";"Dieulefil Bonivard";;;"Inconnue";"religieux";"M";;;"peut être dieulefit le confesseur de Bonne de Bourbon vérifier avec pierre";;1
295;"Ricond de Foras";"Ricond de Foras";;;"Inconnue";;"M";;;;;1
296;"Bagie";"Bagie";;;"Inconnue";;"M";;;;;1
297;"Bargeat";"Bargeat";;;"Inconnue";"écuyer";"M";;;;"Barnabo";1
298;"Antoine de Chignin";"Antoine de Chignin";;;"Inconnue";"écuyer";"M";;;;"6";1
299;"Stéphane Matriculari";"Stéphane Matriculari";;;"Inconnue";;"M";"Genève";;;;1
300;"seigneur de Varru";"seigneur de Varru";;;"Inconnue";"seigneur";"M";;;;;1
301;"valet de l'apothicaire Ardiczon";;;;"Inconnue";"valet";"M";;;;"Ardiczon";1
302;"Ardiczon";"Ardiczon";;;"Inconnue";"apotiquaire";"M";;;;;1
